Title,Link,Type,Range,Year,Location,Posted,Price EUR,Price KN
"Ford C-Max 1,6 TDCi Trend",https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-trend-oglas-40398350,Rabljeno vozilo, 178000 km, 2011," Petrinja, Petrinja",15052023,5.700 € ," 42.946,65 kn"
Ford C-Max 1.6 CDTI,https://www.njuskalo.hr/auti/ford-c-max-1.6-cdti-oglas-40180515,Rabljeno vozilo, 190000 km, 2013," Petrinja, Petrinja",15052023,6.950 € ," 52.364,78 kn"
"Ford C-Max 1,5 TDCi /7 sjedala/ ZAMJENA/",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-oglas-40335983,Rabljeno vozilo, 272000 km, 2017," Virovitica, Centar",15052023,8.600 € ," 64.796,70 kn"
"Ford C-Max Grand - 1.6 TDCi, 85 kW, 2013 god. SNIŽENA CIJENA !!!!",https://www.njuskalo.hr/auti/ford-c-max-grand-1.6-tdci-oglas-40244376,Rabljeno vozilo, 228000 km, 2013," Trešnjevka - Jug, Jarun",15052023,6.900 € ," 51.988,05 kn"
"Ford C-Max 1,5 TDCi TITANIUM AUTOMATIC, NAVI/KAMERA/KEYLESS, 8/2023",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-titanium-automatic-navi-kamera-keyless-7-2023-oglas-40346538,Rabljeno vozilo, 193000 km, 2016," Peščenica - Žitnjak, Savica - Šanci",14052023,10.900 € ," 82.126,05 kn"
"Ford C-Max 1,5 tdci TITANIUM - HR auto!!! TOP STANJE !!",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-titanium-hr-auto-dolasku-oglas-40160170,Rabljeno vozilo, 178615 km, 2017," Lovran, Lovran",14052023,12.300 € ," 92.674,35 kn"
Ford C-Max 1.6 tdci TITANIUM,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-titanium-dolasku-oglas-40062694,Rabljeno vozilo, 160500 km, 2011," Lovran, Lovran",14052023,7.500 € ," 56.508,75 kn"
"Ford C-Max 1,6 TDCi Trend",https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-trend-oglas-40438736,Rabljeno vozilo, 179200 km, 2013," Velika Gorica - Okolica, Velika Mlaka",14052023,7.290 € ," 54.926,51 kn"
"Ford C-Max 1,5TDCi BUSINESS NAVIGACIJA,PARK-PILOT,GRIJANJE VOLANA",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-business-navigacija-park-pilot-grijanje-volana-oglas-40427012,Rabljeno vozilo, 175000 km, 2016," Bjelovar, Centar",14052023,10.599 € ," 79.858,17 kn"
"*FORD C-MAX 1.6 TDCI TITANIUM,DIGI KLIMA,TEMPO,P.SENZORI,1VL,KAO NOVO*",https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-titanium-digi-klima-tempo-p-senzori-1vl-kao-oglas-40337066,Rabljeno vozilo, 187376 km, 2009," Virovitica, Centar",14052023,4.650 € ," 35.035,42 kn"
Ford C-Max 1.6 tdci,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-oglas-40464849,Rabljeno vozilo, 235500 km, 2015," Duga Resa, Mrežnički Brig",14052023,7.900 € ," 59.522,55 kn"
"Ford C-Max 1,6TDCi 2015 g titanium+",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-oglas-39684914,Rabljeno vozilo, 147000 km, 2015," Sisak - Okolica, Budaševo",14052023,9.300 € ," 70.070,85 kn"
"Ford C-Max 1,6 tdci Titanium",https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-titanium-oglas-39556191,Rabljeno vozilo, 186000 km, 2011," Sisak - Okolica, Budaševo",14052023,6.900 € ," 51.988,05 kn"
"Ford C-Max 1,5 TDCi Trend",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-trend-oglas-40463544,Rabljeno vozilo, 143000 km, 2016, Njemačka,14052023,9.500 € ," 71.577,75 kn"
Ford C-Max 1.6 TDCI prodaja ili zamjena za manje dostavno vozilo,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-oglas-39377101,Rabljeno vozilo, 125000 km, 2015," Opatija - Okolica, Poljane",14052023,9.200 € ," 69.317,40 kn"
"Ford C-Max 1.6 16V SFI, Trend",https://www.njuskalo.hr/auti/ford-c-max-1.6-16v-sfi-trend-oglas-40463213,Rabljeno vozilo, 127350 km, 2009," Pula, Veli vrh",14052023,6.200 € ," 46.713,90 kn"
"Ford C-Max 2,0 TDCi automatik - REG 5/2024 - NEMA PRIJENOSA!!",https://www.njuskalo.hr/auti/ford-c-max-2.0-tdci-automatik-reg-5-2024-nema-prijenosa-oglas-40432518,Rabljeno vozilo, 135000 km, 2017," Radoboj, Radoboj",14052023,13.200 € ," 99.455,40 kn"
"Ford C-Max 1,5 TDCi - NAVI*TEMPOMAT*ALU*KLIMA*JAMSTVO",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-navi-tempomat-alu-klima-jamstvo-oglas-38659449,Rabljeno vozilo, 92261 km, 2018," Vrbovec, Luka",14052023,13.900 € ," 104.729,55 kn"
"▶ Ford C-Max 1,6 TDCi Titanium | JAMSTVO | TEMP | PARK SENZ | ALU 16""",https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-titanium-jamstvo-temp-park-senz-alu-16-oglas-40407523,Rabljeno vozilo, 154000 km, 2014," Sesvete, Sesvetski Kraljevec",14052023,9.490 € ," 71.502,40 kn"
Ford C-Max 1.6 TDCi Titanium,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-titanium-oglas-39000379,Rabljeno vozilo, 193859 km, 2013," Gornji Grad - Medveščak, Medveščak",14052023,7.900 € ," 59.522,55 kn"
Ford C-Max 1.6 tdci,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-oglas-40461253,Rabljeno vozilo, 240000 km, 2009," Brckovljani, Božjakovina",14052023,4.250 € ," 32.021,62 kn"
"Ford C-Max 1,5 TDCi automatik/NAVIGATOR/PARKING SENZORI/u sustavu PDV",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-automatik-navigator-parking-senzori-sustavu-pdv-oglas-39939164,Rabljeno vozilo, 164000 km, 2018," Rijeka, Srdoči",14052023,13.990 € ," 105.407,66 kn"
Ford C-Max 1.6 TDCI *NAVI* ALU*,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-oglas-39582018,Rabljeno vozilo, 165000 km, 2015," Vukovar, Borovo Naselje",14052023,8.999 € ," 67.802,97 kn"
Ford C-Max 1.6Tdci,https://www.njuskalo.hr/auti/ford-c-max-1.6tdci-oglas-40121845,Rabljeno vozilo, 271000 km, 2015," Trnovec Bartolovečki, Trnovec",14052023,8.750 € ," 65.926,88 kn"
"Ford C-Max 1,5 TDCi presao 158 700 km, veliki servi,euro kuka, klima..",https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-reg-26.04.2024-oglas-40134830,Rabljeno vozilo, 158700 km, 2016," Nova Gradiška, Kovačevac",14052023,11.700 € ," 88.153,65 kn"
